wt,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,yr,mo,Date
15,Mittwoch,63,0,9,54,0,9,63,0,63,2012,08,2012-08-15
16,Donnerstag,67,0,8,59,0,8,71,4,71,2012,08,2012-08-16
17,Freitag,65,0,6,59,0,6,67,4,69,2012,08,2012-08-17
18,Samstag,40,0,7,33,0,7,47,4,44,2012,08,2012-08-18
19,Sonntag,31,0,7,24,0,7,30,3,34,2012,08,2012-08-19
20,Montag,65,0,2,63,0,2,70,3,68,2012,08,2012-08-20
21,Dienstag,54,0,5,49,0,5,56,2,56,2012,08,2012-08-21
22,Mittwoch,58,0,12,46,0,12,55,3,61,2012,08,2012-08-22
23,Donnerstag,62,0,6,56,0,6,65,0,62,2012,08,2012-08-23
24,Freitag,63,0,12,51,0,13,61,4,67,2012,08,2012-08-24
25,Samstag,32,0,1,31,0,1,37,2,34,2012,08,2012-08-25
26,Sonntag,35,0,2,33,0,3,43,4,39,2012,08,2012-08-26
27,Montag,62,0,7,55,0,7,61,2,64,2012,08,2012-08-27
28,Dienstag,60,0,6,54,0,6,58,1,61,2012,08,2012-08-28
29,Mittwoch,50,0,4,46,0,4,55,2,52,2012,08,2012-08-29
30,Donnerstag,47,0,7,40,0,7,48,4,51,2012,08,2012-08-30
31,Freitag,42,1,5,36,1,5,47,5,47,2012,08,2012-08-31
1,Samstag,36,0,5,31,0,5,36,1,37,2012,09,2012-09-01
2,Sonntag,26,0,5,21,0,5,26,4,30,2012,09,2012-09-02
3,Montag,71,0,8,63,0,8,75,4,75,2012,09,2012-09-03
4,Dienstag,82,0,17,65,0,18,74,0,82,2012,09,2012-09-04
5,Mittwoch,62,1,10,51,1,10,57,0,62,2012,09,2012-09-05
6,Donnerstag,55,0,6,49,0,6,64,3,58,2012,09,2012-09-06
7,Freitag,45,0,3,42,0,3,45,3,48,2012,09,2012-09-07
8,Samstag,36,0,3,33,0,3,38,7,43,2012,09,2012-09-08
9,Sonntag,35,0,4,31,0,4,36,2,37,2012,09,2012-09-09
10,Montag,57,0,8,49,0,8,58,1,58,2012,09,2012-09-10
11,Dienstag,69,0,8,61,0,8,75,5,74,2012,09,2012-09-11
12,Mittwoch,40,0,3,37,0,3,48,3,43,2012,09,2012-09-12
13,Donnerstag,59,0,7,52,0,7,58,3,62,2012,09,2012-09-13
14,Freitag,66,2,13,51,2,15,59,7,73,2012,09,2012-09-14
15,Samstag,28,1,4,23,1,8,31,6,34,2012,09,2012-09-15
16,Sonntag,23,0,4,19,0,4,22,3,26,2012,09,2012-09-16
17,Montag,61,0,12,49,0,12,58,2,63,2012,09,2012-09-17
18,Dienstag,79,0,14,65,0,14,80,3,82,2012,09,2012-09-18
19,Mittwoch,58,0,6,52,0,6,68,3,61,2012,09,2012-09-19
20,Donnerstag,49,0,5,44,0,5,53,4,53,2012,09,2012-09-20
21,Freitag,34,0,2,32,0,2,39,6,40,2012,09,2012-09-21
22,Samstag,29,0,3,26,0,3,30,2,31,2012,09,2012-09-22
23,Sonntag,26,1,3,22,1,4,26,6,32,2012,09,2012-09-23
24,Montag,53,1,7,45,1,7,55,4,57,2012,09,2012-09-24
25,Dienstag,61,0,6,55,0,7,66,5,66,2012,09,2012-09-25
26,Mittwoch,54,0,2,52,0,2,56,3,57,2012,09,2012-09-26
27,Donnerstag,52,0,8,44,0,8,56,5,57,2012,09,2012-09-27
28,Freitag,55,0,9,46,0,10,55,1,56,2012,09,2012-09-28
29,Samstag,33,0,9,24,0,10,31,4,37,2012,09,2012-09-29
30,Sonntag,22,0,2,20,0,2,26,3,25,2012,09,2012-09-30
